id,predicted_price
0,372046.59105531924
1,954313.8356275243
2,1121933.3330809623
3,1792670.5882627007
4,688673.165303052
5,255924.81299526806
6,772314.1012399284
7,713570.6907371394
8,447955.4994958405
9,583699.1590774674
10,612051.6595349459
11,381564.0395105007
12,260509.28137846157
13,311548.2250831434
14,246849.98357566042
15,1059068.2559674252
16,766005.3586806789
17,975073.3181363982
18,373011.63678621704
19,451344.89210205706
20,439051.1740758134
21,909030.3037194579
22,768971.0878890402
23,587724.3170440041
24,566337.1707934503
25,525860.6052893423
26,243328.80425499537
27,186576.6327414214
28,336579.041504152
29,606669.5033923652
30,382866.978354681
31,476743.3090888028
32,535162.0953563816
33,233749.02194638777
34,468240.1874757528
35,970887.4338606105
36,836621.6254153259
37,415057.85842562
38,376654.79768065753
39,1795225.3612137449
40,482574.7872389699
41,273790.05689850025
42,313318.7019621047
43,383164.791381626
44,270758.40031544707
45,242224.6119461
46,425971.7036838573
47,461553.34711005224
48,392465.3344243496
49,781198.1189452145
50,483628.6523079566
51,536913.1227392291
52,405161.04904327827
53,514692.5817189364
54,499929.2636124256
55,1214290.157098017
56,342907.66840111633
57,757292.0359624047
58,504018.99881447677
59,703894.3908095886
60,433645.7422119877
61,277001.54127950757
62,213486.95316356572
63,585329.9343624878
64,383150.1068983781
65,173313.05223148773
66,309215.24725829554
67,785605.9188917333
68,536408.9533907756
69,865228.9339291296
70,370194.5556973232
71,380164.20715938404
72,918020.8822299952
73,986715.6490449128
74,522791.7054463828
75,936866.4206323257
76,1206309.3491802153
77,206515.8015088183
78,533125.0144000283
79,1496675.291422838
80,691522.895933494
81,433136.2313548549
82,618298.865093238
83,234880.17054903676
84,970211.8528274108
85,472510.5238884734
86,429905.88922214444
87,784801.200226588
88,375770.21379190905
89,428407.2607945122
90,236470.01742669474
91,418846.67627772666
92,615818.0365662262
93,993079.959332659
94,548439.2619971269
95,493191.36764290446
96,253134.89251152368
97,245939.9817992918
98,736998.9459072718
99,555665.4766005302
100,217351.30344728736
101,1109889.0795643306
102,532667.5238066545
103,319831.72925610695
104,1035505.4901369134
105,266139.65582287684
106,462740.19804714335
107,556252.3924528178
108,749549.7010397314
109,1914897.069315823
110,331037.1656971543
111,225928.0932002999
112,615427.1678592763
113,737075.1751195367
114,546778.2167490566
115,289024.80535592954
116,221303.35796344615
117,329224.7631146467
118,285526.2523491082
119,411214.3384699282
120,487301.35309368925
121,390975.85091240454
122,432806.0687415988
123,197551.93257652537
124,419920.20904979267
125,723557.9592797918
126,208901.1279796571
127,824675.7541094029
128,304918.5866660899
129,357171.1259977665
130,442862.92961684754
131,409213.5907514225
132,308759.97391392174
133,815114.0108121444
134,262321.523222671
135,568582.7432509642
136,378221.5652402121
137,305667.79436190776
138,1229207.73458465
139,667614.418538215
140,585883.5136283922
141,743242.4286705379
142,593018.3319401782
143,414850.50828865235
144,221796.5253344621
145,317180.97922579956
146,405941.74516501266
147,150600.2527735046
148,375852.5525043969
149,484353.66799309
150,746930.2498923659
151,858723.0004525041
152,558946.9657797647
153,1702129.2148526984
154,677400.1839634196
155,702538.9400748581
156,598921.0699693733
157,384529.38526941
158,562545.6125886096
159,369655.3953495719
160,699512.3923356332
161,415269.28229345405
162,253991.03650582477
163,312568.8791186907
164,323606.6116765185
165,380993.74045381916
166,173817.46754425357
167,285024.7758150367
168,558071.1457849446
169,348769.31045068504
170,711192.0709920853
171,360435.72287030134
172,261620.85541710551
173,635588.8732580415
174,386420.5715434262
175,343859.83170865243
176,286958.8707154318
177,502293.0946065739
178,238266.35853106593
179,349617.4607988476
180,296780.07346106716
181,491525.6795623369
182,505460.50427954725
183,711163.4912830995
184,826556.1764602443
185,367854.64496957156
186,177422.9041644595
187,548422.2399350709
188,517634.9796872853
189,528088.9579524735
190,217005.23320747132
191,777072.6794694655
192,901450.7619240689
193,983567.6518391989
194,339005.92273905326
195,508417.92179817916
196,392334.3994594794
197,1383140.443352082
198,626450.0630997067
199,369936.1615973642
200,436264.62168753316
201,296918.44598898024
202,611746.5753997172
203,993993.9631878929
204,957030.0439558165
205,308400.7810165882
206,601087.850824341
207,261292.6510717815
208,603780.1625995837
209,639542.9176607584
210,309890.07525529
211,277148.1256772662
